"ENTREZID","SYMBOL"
"124901103","LOC124901103"
"8614","STC2"
"51617","NSG2"
"57179","KIAA1191"
"2264","FGFR4"
"54732","TMED9"
"3182","HNRNPAB"
"821","CANX"
"94234","FOXQ1"
"7280","TUBB2A"
"9425","CDYL"
"118597831","TMEM14B-DT"
"100506409","ELOVL2-AS1"
"221710","SMIM13"
"54438","GFOD1"
"84062","DTNBP1"
"51567","TDP2"
"8358","H3C2"
"8364","H4C3"
"108783645","HFE-AS1"
"3017","H2BC5"
"8360","H4C4"
"8351","H3C4"
"8367","H4C5"
"8339","H2BC8"
"124901287","LOC124901287"
"493812","HCG11"
"8357","H3C10"
"8331","H2AC14"
"8362","H4C12"
"7745","ZKSCAN8"
"3159","HMGA1"
"11165","NUDT3"
"6631","SNRPC"
"5467","PPARD"
"4736","RPL10A"
"6732","SRPK1"
"107986593","ZFAND3-DT"
"5225","PGC"
"100188893","TOMM6"
"285855","RPL7L1"
"10695","CNPY3"
"65989","DLK2"
"7422","VEGFA"
"125050","RN7SK"
"22858","CILK1"
"2729","GCLC"
"10559","SLC35A1"
"221294","NT5DC1"
"51389","RWDD1"
"25842","ASF1A"
"5169","ENPP3"
"105378047","UST-AS2"
"9113","LATS1"
"39","ACAT2"
"653483","AFDN-DT"
"107986549","LOC107986549"
"55780","ERMARD"
"29960","MRM2"
"8662","EIF3B"
"26100","WIPI2"
"54476","RNF216"
"4697","COXFA4"
"223082","ZNRF2"
"23658","LSM5"
"11328","FKBP9"
"135892","TRIM50"
"113878","DTX2"
"8896","BUD31"
"107986832","LOC107986832"
"100630923","LOC100630923"
"222235","FBXL13"
"5001","ORC5"
"23608","MKRN1"
"105375538","AGK-DT"
"2146","EZH2"
"155060","LOC155060"
"57488","ESYT2"
"124901796","LOC124901796"
"79873","NUDT18"
"80346","REEP4"
"203069","R3HCC1"
"157313","CDCA2"
"665","BNIP3L"
"1191","CLU"
"84549","MAK16"
"124901935","LOC124901935"
"7419","VDAC3"
"157777","MCMDC2"
"51001","MTERF3"
"100500914","MIR3610"
"105375771","LOC105375771"
"79943","ZNF696"
"5339","PLEC"
"8694","DGAT1"
"55630","SLC39A4"
"51160","VPS28"
"6132","RPL8"
"4712","NDUFB6"
"51010","EXOSC3"
"3376","IARS1"
"5887","RAD23B"
"107987116","LOC107987116"
"114987","WDR31"
"1955","MEGF9"
"26147","PHF19"
"102723324","LOC102723324"
"401551","WDR38"
"2800","GOLGA1"
"27433","TOR2A"
"10999","SLC27A4"
"28989","NTMT1"
"140459","ASB6"
"10319","LAMC3"
"642515","PRRT1B"
"9328","GTF3C5"
"9919","SEC16A"
"124900276","LOC124900276"
"56654","NPDC1"
"29882","ANAPC2"
"10383","TUBB4B"
"6907","TBL1X"
"124905244","LOC124905244"
"9643","MORF4L2"
"106029310","DANT1"
"1852","DUSP9"
